source,title,url,date,author,preview,matched_keywords,category
Construction Business Owner,Dodge Momentum Index Flat in August,https://www.constructionbusinessowner.com/dodge-momentum-index-flat-in-august/,"Wed, 09 Sep 2026 14:04:30 +0000",CBO Editorial Staff,"BOSTON (Sept. 8, 2026) — The Dodge Momentum Index (DMI), issued by Dodge Construction Network, ticked down 0.4% in August to 282.0 (2000=100) from the downwardly revised July reading of 283.0. Over the month, commercial planning declined 3.0% and institutional planning grew 4.9%. “Strength in planning momentum remained relatively broad-based in August,” said Sarah Martin, director of economic rese",data center,data centers
Construction Business Owner,All Within My Hands Partners With CNH to Auction Final Hetfield Limited Edition CASE Compact Track Loader,https://www.constructionbusinessowner.com/hetfieldloader/,"Fri, 04 Sep 2026 16:51:25 +0000",CBO Editorial Staff,"SAN RAFAEL, Calif. (Sept. 4, 2026) — Metallica’s foundation, All Within My Hands , is partnering with CASE Construction Equipment , a brand of CNH, to celebrate Labor Day in support of skilled trade education programs. This Labor Day weekend, edition No. 1 of 25 “Hetskid” — The James Hetfield-inspired CASE compact track loader — will be available for bidding via the Purple Wave auction site. “Thes","bid, bidding, workforce",auction
Construction Business Owner,"ABC: Construction Job Openings Up by 28,000 to Near-2-Year High in July",https://www.constructionbusinessowner.com/abc-construction-job-openings-up-by-28000-to-near-2-year-high-in-july/,"Tue, 01 Sep 2026 21:12:33 +0000",Carmen Capoccia,"WASHINGTON (Sept. 1, 2026) — The construction industry had 326,000 job openings on the last day of July, according to an Associated Builders and Contractors (ABC) analysis of data from the U.S. Bureau of Labor Statistics’ Job Openings and Labor Turnover Survey. JOLTS defines a job opening as any unfilled position for which an employer is actively recruiting. Industry job openings increased by 28,0","data center, shortage",ABC
Construction Business Owner,Former Maryland Secretary of Labor Named ABC VP of Workforce & Safety Policy,https://www.constructionbusinessowner.com/26678-2/,"Mon, 31 Aug 2026 14:26:37 +0000",Carmen Capoccia,"WASHINGTON (Aug. 31, 2026) — Associated Builders and Contractors (ABC) announced that Tiffany Robinson has joined the association as its vice president of workforce and safety policy. Robinson brings deep experience in executive leadership, workforce development, public policy and infrastructure to ABC. As a member of ABC’s executive leadership team, Robinson will lead research, policy and strateg","apprentice, workforce, workforce develop",
Construction Business Owner,AlignOps FleetWatcher Replaces Paper Truck Tickets,https://www.constructionbusinessowner.com/alignops-fleetwatcher-replaces-paper-truck-tickets/,"Thu, 27 Aug 2026 14:54:44 +0000",Carmen Capoccia,"INDIANAPOLIS (Aug. 27, 2026) — AlignOps FleetWatcher automatically creates Virtual Truck Tickets from truck-based digital work records using dispatch, GPS and shift data. Digitally capturing the data replaces paper truck tickets which can be lost, illegible or incomplete, leading to mistakes like overpayment and unnecessary hauling costs due to time rounding. With visibility across the company, it","digital, software",
Construction Business Owner,AGC: Construction Input Costs Climb as Impacts From War & Tariffs Spread,https://www.constructionbusinessowner.com/agc-construction-input-costs-climb-as-impacts-from-war-tariffs-spread/,"Wed, 26 Aug 2026 14:16:22 +0000",Carmen Capoccia,"Aug. 13, 2026 — The producer price index for inputs to new nonresidential construction rose 7.1% from July 2025 to July 2026 as numerous input prices accelerated to multiyear highs, according to an analysis by the Associated General Contractors of America (AGC) of government data . Association officials called for reduced and stable tariffs for construction inputs, along with prompt enactment of a","bid, craft worker, estimat, refinery, workforce",AGC
AGC News,"Construction Sheds 3,000 Jobs in August; Gains Are Limited To Homebuilding As Other Contractors Struggle To Fill Both Craft And Salaried Positions",https://www.agc.org/news/2021/09/03/construction-sheds-3000-jobs-august-gains-are-limited-homebuilding-other-contractors,"Fri, 03 Sep 2021 15:08:36 +0000",sophia.valentino@agc.org,"Construction Sheds 3,000 Jobs in August; Gains Are Limited To Homebuilding As Other Contractors Struggle To Fill Both Craft And Salaried Positions Fri, 09/03/2021 - 07:00 sophia.valenti… Fri, 09/03/2021 - 11:08 am Association Officials Urge Congress to Finish Work on Bipartisan Infrastructure Bill to Boost Demand for Nonresidential Construction and Fund Career and Technical Education Programs to A","craft worker, shortage, workforce",
AGC News,Construction Workforce Shortages Reach Pre-pandemic Levels Even as Coronavirus Continues to Impact Projects & Disrupt Supply Chains,https://www.agc.org/news/2021/09/02/construction-workforce-shortages-reach-pre-pandemic-levels-even-coronavirus,"Thu, 02 Sep 2021 13:42:31 +0000",macrina.wilkins@agc.org,"Construction Workforce Shortages Reach Pre-pandemic Levels Even as Coronavirus Continues to Impact Projects & Disrupt Supply Chains Thu, 09/02/2021 - 05:45 macrina.wilkin… Thu, 09/02/2021 - 9:42 am Eighty-Nine Percent of Contractors Are Having a Hard Time Finding Craft Workers, While 88 Percent of Firms Are Experiencing Project Delays and 93 Percent Are Affected by Rising Materials Prices Construc","bid, craft worker, digital, shortage, software, training program, workforce, workforce develop",
AGC News,"Construction Spending Posts Small Increase In July, But Coronavirus, Soaring Costs, And Supply Disruptions Threaten To Erase Further Gains",https://www.agc.org/news/2021/09/01/construction-spending-posts-small-increase-july-coronavirus-soaring-costs-and-supply,"Wed, 01 Sep 2021 16:27:51 +0000",sophia.valentino@agc.org,"Construction Spending Posts Small Increase In July, But Coronavirus, Soaring Costs, And Supply Disruptions Threaten To Erase Further Gains Wed, 09/01/2021 - 08:30 sophia.valenti… Wed, 09/01/2021 - 12:27 pm Construction Officials Note Spending Figures Foreshadow New Data the Association is Releasing Tomorrow Shoring the Ongoing Impacts of the Coronavirus on the Construction Workforce and Demand Tot","workforce, workforce develop",
ConstructConnect Blog,What AI Still Gets Wrong About Preconstruction,https://www.constructconnect.com/blog/what-ai-still-gets-wrong-about-preconstruction,"Mon, 31 Aug 2026 12:38:11 GMT",Maila Kim,"This Q&A is a companion to AI in Preconstruction: Why Rewiring Matters More Than Speed , where Gaurav Singal makes the case for getting the foundation right before chasing AI speed.",preconstruction,Construction AI Technology
ConstructConnect Blog,The Specification Data That Should Drive Your 2027 Plan,https://www.constructconnect.com/blog/the-specification-data-that-should-drive-your-2027-plan,"Fri, 28 Aug 2026 15:47:10 GMT",Deirdre.Pearson@constructconnect.com (Deirdre Pearson),"In short: The Specification Positioning dashboard in ConstructConnect® Analytics shows building product manufacturers (BPMs) exactly where their products are being specified, which architects are driving activity, and where competitors are winning ground. Specification share is the upstream metric for market position: by the time specification decisions surface in bids, the window to influence the","ConstructConnect, bid, estimat",Commercial Construction Data
ConstructConnect Blog,Bid Pipeline Health: 5 Metrics for Commercial GCs in 2026,https://www.constructconnect.com/blog/bid-pipeline-health-commercial-gcs-in-2026,"Fri, 28 Aug 2026 13:00:02 GMT",Maila Kim,In short :,bid,The Preconstruction Playbook
ConstructConnect Blog,Are AI Takeoffs Accurate in 2026? What Estimators Gain and Still Need to Review,https://www.constructconnect.com/blog/are-ai-takeoffs-accurate-in-2026,"Tue, 18 Aug 2026 13:30:02 GMT",Maila Kim,In short:,"AI takeoff, estimat, takeoff",The Preconstruction Playbook
ConstructConnect Blog,AI in Preconstruction: Why Rewiring Matters More Than Speed,https://www.constructconnect.com/blog/why-rewiring-matters-more-than-speed,"Mon, 17 Aug 2026 15:50:18 GMT",Maila Kim,"This article is adapted from “ Most Companies Have AI Tools, But Many Don’t Rewire Themselves for AI, ” originally published in Forbes by Gaurav Singal, Chief Technology Officer at ConstructConnect®.","ConstructConnect, preconstruction",Construction AI Technology
ConstructConnect Blog,Which U.S. Construction Sectors Are Growing Fastest in 2026 — and Where a Full Backlog Hides Risk,https://www.constructconnect.com/blog/which-u.s.-construction-sectors-are-growing-fastest-in-2026-and-where-a-full-backlog-hides-risk,"Fri, 14 Aug 2026 13:57:48 GMT",Daniel Behrendt,"In short: Data centers, power infrastructure, and healthcare lead U.S. construction sector growth in 2026: These three sectors are attracting the strongest contractor demand, with data centers posting a net +57% contractor confidence reading, the highest of any sector tracked in the AGC 2026 Hiring and Business Outlook . The South holds the most active planning pipeline: Over 56% of near-term cons","backlog, data center",The Preconstruction Playbook
ConstructConnect Blog,How Contractors Find Early-Stage Projects with ConstructConnect®,https://www.constructconnect.com/blog/how-contractors-find-early-stage-projects-with-constructconnect,"Thu, 13 Aug 2026 19:50:58 GMT",Deirdre.Pearson@constructconnect.com (Deirdre Pearson),"In short: Early-stage project discovery means finding commercial construction projects at the conceptual or design phases, often 12-24 months before a bid is issued. Contractors who find projects at the planning stage can compete on fit and relationship rather than solely on price. Specialty contractors can use early project data to get on GC bid lists before the invitation list is even built. Con","ConstructConnect, bid",Construction Bidding
MCAA News,Resource Highlight: MCAA’s Lone Worker Safety Model Program,https://www.mcaa.org/resource-highlight-mcaas-lone-worker-safety-model-program-5/,"Thu, 10 Sep 2026 21:07:14 +0000",Adrienne,Service technicians may work on their own without ready access to assistance. MCAA’s Lone Worker Safety Model Program helps contractors identify risks and hazards and ensure adequate systems are in place to protect those workers. It’s just one of MCAA’s educational resources that are free to MCAA members as a benefit of membership. The model program can be easily tailored to meet each company’s sp,workforce,Uncategorized
MCAA News,November Institute for Project Management – A Few Seats Remain!,https://www.mcaa.org/november-institute-for-project-management-a-few-seats-remain/,"Thu, 10 Sep 2026 20:45:12 +0000",Adrienne,"Due to the overwhelming popularity of the Institute for Project Management (IPM) program, and thanks to the hard work of our dedicated volunteers, MCAA recently announced the addition of IPM courses to our 2026 training calendar. Registration is filling up quicky for this additional fall IPM program, but a few seats still remain! Read on to learn more about this exciting opportunity. What stays th",mechanical contractor,Uncategorized
MCAA News,"Congratulations to Madison Deck, Recipient of the EVAPCO, Inc. Engineering Scholarship",https://www.mcaa.org/congratulations-to-madison-deck-recipient-of-the-evapco-inc-engineering-scholarship/,"Thu, 10 Sep 2026 17:49:12 +0000",Adrienne,"Congratulations to Madison Deck on receiving the EVAPCO, Inc. Engineering Scholarship at MCAA26 during the Awards of Excellence Breakfast in Phoenix, AZ. EVAPCO, Inc. established two $5,000 scholarships designed to recognize and encourage students pursuing degrees in Mechanical Engineering, Civil Engineering, or fields of study relevant to mechanical contracting and equipment manufacturing that su",workforce,Uncategorized
MCAA News,MCAA Celebrates Shannon Paciorek’s Achievement as a Certified Meeting Professional (CMP),https://www.mcaa.org/mcaa-celebrates-shannon-pacioreks-achievement-as-a-certified-meeting-professional-cmp/,"Thu, 10 Sep 2026 17:32:05 +0000",Adrienne,"The Mechanical Contractors Association of America (MCAA) is pleased to announce that Shannon Paciorek, Associate Director of Meetings and Events, has earned her Certified Meeting Professional (CMP) designation. Issued by the Events Industry Council (EIC), the CMP credential is recognized globally as a benchmark of excellence in the meetings and events industry. It is awarded to professionals who h","mechanical contractor, training program",Uncategorized
MCAA News,Committee Service Builds Leaders and Strengthens the Industry,https://www.mcaa.org/committee-service-builds-leaders-and-strengthens-the-industry/,"Thu, 10 Sep 2026 16:00:07 +0000",Adrienne,"Serving on an MCAA national committee is more than a volunteer opportunity. It’s a chance to develop leadership skills, build industry relationships, and help guide initiatives that benefit mechanical contractors nationwide. National committees are instrumental in supporting MCAA programs, initiatives, and leadership development efforts. Committee members help advance the association’s mission whi",mechanical contractor,Uncategorized
MCAA News,JRGF Faculty Continuing Education Grant Offers Summer Field Experience for Purdue Faculty Advisor Ryan Manuel,https://www.mcaa.org/jrgf-faculty-continuing-education-grant-offers-summer-field-experience-for-purdue-faculty-advisor-ryan-manuel/,"Thu, 10 Sep 2026 14:30:51 +0000",Adrienne,"The John R. Gentille Foundation (JRGF) Faculty Continuing Education Grant provided Ryan Manuel, Associate Professor of Practice at Purdue University’s Bowen School of Construction, with an opportunity to spend eight weeks this summer immersed in the operations of MCAA member D.A. Dodd in Indiana. Through the experience, Manuel gained firsthand insight into the company’s growth, culture, and operat","BIM, estimat, mechanical contractor, workforce, workforce develop",Uncategorized
MCAA News,MCAA Mourns Michael Allan Mack,https://www.mcaa.org/mcaa-mourns-michael-allan-mack/,"Wed, 09 Sep 2026 18:19:51 +0000",Adrienne,"MCAA is saddened by the passing of Michael Allan Mack, who died peacefully on September 2, 2026, at the age of 81. Our thoughts are with his wife, Mary; his children, Kevin, Cate, Chris, Margaret, and Timothy; and the extended Mack family during this difficult time. A respected industry leader, mentor, educator, and advocate for the mechanical contracting profession, Michael devoted his career to ",mechanical contractor,Uncategorized
MCAA News,"Find the Latest from EVAPCO, Inc. and SLOAN in MCAA’s Virtual Trade Show",https://www.mcaa.org/find-the-latest-from-evapco-inc-and-sloan-in-mcaas-virtual-trade-show/,"Tue, 08 Sep 2026 15:37:36 +0000",Adrienne,"MCAA’s Virtual Trade Show connects our contractor members with the members of MCAA’s Manufacturer/Supplier Council. Participating companies highlight and link to new products, product lines, services, solutions or web pages of particular interest. Here are just a few of the recent additions: EVAPCO Water Saver Using the power of capacitive deionization technology, EVAPCO Water Saver makes it easy ",mechanical contractor,Uncategorized
MCAA News,Explore the Future of MEP Contracting at the 2027 MEP Innovation Conference,https://www.mcaa.org/explore-the-future-of-mep-contracting-at-the-2027-mep-innovation-conference/,"Mon, 07 Sep 2026 15:25:29 +0000",Travis,"Innovation, collaboration, and technology are transforming the way projects are planned, managed, and delivered across the mechanical, electrical, and sheet metal industries. Join contractors, technology leaders, and industry professionals from across the country at the 2027 MEP Innovation Conference, Jan. 25-27, 2027, in Tampa, Florida. Hosted by MCAA, NECA, and SMACNA, the MEP Innovation Confere",SMACNA,Uncategorized
Chemical Engineering,Fieldbus-connected valve terminal improves hazardous-area automation,https://www.chemengonline.com/fieldbus-connected-valve-terminal-improves-hazardous-area-automation/,"Thu, 10 Sep 2026 11:39:59 +0000",Mary Bailey,"The new VTUG-EX valve terminal addresses this challenge by extending Fieldbus connectivity into Class I, Division 2 areas. The post Fieldbus-connected valve terminal improves hazardous-area automation appeared first on Chemical Engineering .",automation,Chemical Engineering
Chemical Engineering,"Protected: Physics-Rooted, Non-Invasive Industrial Temperature Sensors Drive Accuracy While Providing Flexibility",https://www.chemengonline.com/physics-rooted-non-invasive-industrial-temperature-sensors-drive-accuracy-while-providing-flexibility/,"Wed, 09 Sep 2026 19:02:31 +0000",Scott Jenkins,"There is no excerpt because this is a protected post. The post Protected: Physics-Rooted, Non-Invasive Industrial Temperature Sensors Drive Accuracy While Providing Flexibility appeared first on Chemical Engineering .",accuracy,Automation & Control
